asset,average_distance,idle_time_percentage,average_utilization_rate
SC101_A,16.84,4.910714285714286,4.910714285714286
SC103_A,10.09457142857143,4.077380952380952,4.0773809523809526
SC104,5.067454545454546,3.3712121212121207,3.3712121212121207
SC105,8.687,4.053030303030304,4.053030303030302
SC106,8.347333333333333,4.097222222222222,4.097222222222222
SC107,11.818555555555557,4.097222222222222,4.097222222222221
SC108,7.62042857142857,4.2559523809523805,4.255952380952381
SC109,7.987272727272727,4.090909090909092,4.090909090909092
SC201,7.451818181818182,3.7878787878787885,3.787878787878787
SC202,14.638200000000001,5.333333333333334,5.333333333333334
SC203,7.2194,3.6666666666666665,3.6666666666666665
